customer_unique_id,frequency,monetary,recency_days,avg_order_value,avg_review_score,review_count,tenure_days,avg_days_between_orders,avg_installments,payment_type_diversity,late_delivery_rate,category_diversity,churned
cust_000000,3,410.65,78,136.88,2.0,2,373,186.0,1.7,1,0.0,5,0
cust_000001,3,347.91,13,115.97,5.0,2,379,189.0,1.0,1,0.333,2,0
cust_000002,9,1642.93,48,182.55,4.0,8,661,82.1,5.2,1,0.222,7,0
cust_000003,4,477.33,8,119.33,3.5,4,557,185.3,1.8,1,0.0,6,0
cust_000004,3,454.21,17,151.4,4.5,2,509,254.0,1.3,1,0.333,4,0
cust_000005,5,723.07,39,144.61,4.0,4,242,60.2,3.0,1,0.0,6,0
cust_000006,2,214.93,191,107.46,5.0,2,152,152.0,1.0,1,0.5,2,1
cust_000007,5,672.77,54,134.55,4.4,5,673,168.0,4.8,1,0.0,6,0
cust_000008,5,663.23,84,132.65,4.4,5,392,97.8,3.0,1,0.6,5,0
cust_000009,1,70.4,386,70.4,0.0,0,0,0.0,1.0,1,0.0,1,1
cust_000010,1,91.4,370,91.4,5.0,1,0,0.0,6.0,1,1.0,1,1
cust_000011,2,336.64,33,168.32,5.0,2,341,341.0,2.0,1,0.5,2,0
cust_000012,2,135.71,25,67.86,4.0,2,257,257.0,1.0,1,0.5,2,0
cust_000013,2,189.55,46,94.78,3.0,2,583,583.0,2.5,1,0.0,2,0
cust_000014,2,303.21,75,151.6,5.0,1,62,62.0,1.0,1,0.0,3,0
cust_000015,2,222.08,17,111.04,5.0,2,487,487.0,2.0,1,0.0,2,0
cust_000016,3,1067.84,29,355.95,4.33,3,261,130.5,2.3,1,0.333,4,0
cust_000017,2,264.02,23,132.01,3.0,2,23,23.0,2.5,1,0.0,2,0
cust_000018,3,440.51,45,146.84,4.5,2,445,222.5,5.0,1,0.0,3,0
cust_000019,2,185.71,353,92.86,4.0,2,184,184.0,1.5,1,0.0,3,1
cust_000020,3,321.18,42,107.06,4.67,3,158,78.5,4.0,1,0.667,2,0
cust_000021,3,344.84,10,114.95,5.0,3,644,321.5,2.7,1,0.667,3,0
cust_000022,3,503.17,91,167.72,3.0,3,289,144.5,2.0,1,0.333,4,1
cust_000023,1,71.7,723,71.7,3.0,1,0,0.0,8.0,1,0.0,1,1
cust_000024,2,259.72,319,129.86,2.0,2,303,303.0,1.0,1,0.5,2,1
cust_000025,2,532.88,360,266.44,3.0,2,174,174.0,1.0,1,0.0,4,1
cust_000026,3,339.12,24,113.04,4.0,2,263,131.0,4.0,1,0.333,3,0
cust_000028,4,308.68,65,77.17,3.5,4,242,80.3,2.5,1,0.25,4,0
cust_000029,3,267.88,57,89.29,5.0,3,540,270.0,1.0,1,0.0,3,0
cust_000030,6,896.4,4,149.4,3.17,6,554,110.6,2.7,1,0.167,7,0
cust_000031,4,769.53,41,192.38,4.0,4,662,220.3,2.5,1,0.25,6,0
cust_000032,2,160.7,26,80.35,3.5,2,88,88.0,3.0,1,0.5,2,0
cust_000033,3,367.33,76,122.44,4.33,3,404,202.0,5.3,1,0.0,3,0
cust_000034,4,270.26,49,67.56,2.5,2,639,212.7,5.8,1,0.25,4,0
cust_000035,4,719.23,39,179.81,3.25,4,365,121.0,6.2,1,0.25,3,0
cust_000036,1,88.0,308,88.0,4.0,1,0,0.0,4.0,1,1.0,1,1
cust_000037,3,472.76,45,157.59,4.0,3,658,328.5,6.3,1,0.0,3,0
cust_000038,2,345.31,511,172.66,3.0,2,25,25.0,6.5,1,0.5,2,1
cust_000039,1,215.43,7,215.43,5.0,1,0,0.0,1.0,1,1.0,2,0
cust_000040,1,57.44,596,57.44,3.0,1,0,0.0,1.0,1,0.0,1,1
cust_000041,2,402.23,195,201.12,2.5,2,88,88.0,4.5,1,0.5,2,1
cust_000042,3,348.72,90,116.24,4.67,3,477,238.5,3.7,1,0.667,3,1
cust_000043,3,647.25,41,215.75,4.33,3,289,144.5,1.0,1,0.333,3,0
cust_000044,3,190.64,41,63.55,3.33,3,636,318.0,1.0,1,0.333,3,0
cust_000045,1,81.63,195,81.63,1.0,1,0,0.0,2.0,1,0.0,1,1
cust_000046,3,328.4,58,109.47,5.0,3,483,241.5,1.7,1,0.0,3,0
cust_000047,8,997.28,19,124.66,4.33,6,710,100.9,5.4,1,0.25,7,0
cust_000048,3,520.91,56,173.64,3.33,3,631,315.5,2.7,1,0.333,3,0
cust_000049,2,950.87,341,475.44,5.0,2,41,41.0,4.5,1,0.0,3,1
cust_000050,2,111.78,31,55.89,3.0,2,270,270.0,3.5,1,0.0,1,0
cust_000051,4,482.42,8,120.6,4.5,4,573,190.3,4.8,1,0.0,5,0
cust_000052,3,783.07,44,261.02,3.33,3,483,241.5,2.0,1,0.333,6,0
cust_000053,4,385.44,20,96.36,3.0,3,652,217.3,4.5,1,0.0,4,0
cust_000054,3,288.16,72,96.05,3.67,3,593,296.5,6.3,1,0.333,3,0
cust_000055,3,173.8,3,57.93,3.67,3,271,135.5,1.3,1,0.667,3,0
cust_000056,3,480.03,7,160.01,3.0,2,661,330.5,2.3,1,0.0,3,0
cust_000057,2,157.95,45,78.97,4.0,2,325,325.0,1.0,1,1.0,2,0
cust_000058,6,750.4,79,125.07,3.0,4,634,126.4,3.7,1,0.333,5,0
cust_000059,6,1514.47,68,252.41,3.67,6,656,130.8,2.0,1,0.0,8,0
cust_000060,4,678.5,39,169.62,3.25,4,431,143.3,1.5,1,0.5,5,0
cust_000061,2,349.82,44,174.91,2.0,2,382,382.0,1.5,1,0.0,2,0
cust_000062,3,524.15,12,174.72,3.33,3,517,258.0,2.0,1,0.333,4,0
cust_000063,6,934.62,83,155.77,2.25,4,428,85.2,3.8,1,0.167,6,0
cust_000064,3,450.12,11,150.04,4.67,3,538,269.0,2.0,1,0.0,4,0
cust_000065,5,998.58,32,199.72,4.8,5,415,103.5,2.6,1,0.0,6,0
cust_000066,3,260.78,26,86.93,2.33,3,581,290.5,2.7,1,0.333,3,0
cust_000067,1,94.45,83,94.45,0.0,0,0,0.0,1.0,1,0.0,1,0
cust_000068,2,322.81,173,161.4,1.0,2,450,450.0,1.0,1,0.5,3,1
cust_000070,5,848.19,17,169.64,3.8,5,707,176.5,2.6,1,0.4,5,0
cust_000071,4,381.22,74,95.3,3.75,4,511,170.0,1.2,1,0.25,5,0
cust_000072,2,164.36,567,82.18,2.5,2,161,161.0,1.5,1,0.0,2,1
cust_000073,1,85.58,57,85.58,5.0,1,0,0.0,1.0,1,0.0,1,0
cust_000074,3,353.52,71,117.84,4.67,3,332,166.0,2.3,1,0.333,3,0
cust_000075,1,872.73,264,872.73,5.0,1,0,0.0,1.0,1,0.0,1,1
cust_000076,3,918.62,23,306.21,3.67,3,514,257.0,1.3,1,0.333,4,0
cust_000077,2,678.67,46,339.34,1.0,1,665,665.0,1.0,1,0.5,3,0
cust_000078,2,271.95,88,135.98,4.5,2,55,55.0,4.0,1,0.0,2,0
cust_000079,4,343.23,3,85.81,4.75,4,573,191.0,4.8,1,0.5,4,0
cust_000080,6,1555.46,42,259.24,3.8,5,662,132.0,2.7,1,0.0,5,0
cust_000081,2,187.31,294,93.66,5.0,1,152,152.0,1.0,1,1.0,3,1
cust_000082,3,270.09,17,90.03,3.0,3,420,209.5,2.3,1,0.333,3,0
cust_000083,3,202.09,25,67.36,4.0,3,600,299.5,3.7,1,0.0,3,0
cust_000084,3,478.06,367,159.35,4.33,3,338,169.0,4.0,1,0.333,4,1
cust_000085,2,192.13,283,96.06,5.0,1,131,131.0,5.5,1,0.0,2,1
cust_000086,9,2186.6,55,242.96,4.38,8,562,70.0,3.7,1,0.333,10,0
cust_000087,3,202.77,238,67.59,4.0,3,310,154.5,2.0,1,0.333,3,1
cust_000088,3,703.63,21,234.54,4.0,3,519,259.0,2.7,1,0.333,3,0
cust_000089,3,510.99,51,170.33,4.5,2,506,252.5,2.3,1,0.333,5,0
cust_000090,2,196.33,149,98.16,1.0,2,349,349.0,3.0,1,0.5,2,1
cust_000092,2,121.2,78,60.6,5.0,1,591,591.0,4.5,1,0.0,2,0
cust_000093,3,356.61,59,118.87,1.5,2,559,279.0,4.0,1,0.0,3,0
cust_000094,2,297.03,17,148.51,4.5,2,665,665.0,2.0,1,0.5,3,0
cust_000095,2,215.49,60,107.74,4.5,2,166,166.0,3.0,1,0.0,3,0
cust_000096,3,322.3,25,107.43,5.0,3,532,265.5,2.0,1,0.333,4,0
cust_000097,1,31.2,682,31.2,1.0,1,0,0.0,1.0,1,1.0,1,1
cust_000098,2,1834.18,489,917.09,4.5,2,41,41.0,1.0,1,0.0,2,1
cust_000099,2,223.48,25,111.74,4.5,2,567,567.0,2.0,1,0.0,3,0
cust_000100,2,341.5,221,170.75,3.5,2,232,232.0,5.0,1,0.0,3,1
cust_000101,6,1670.76,87,278.46,4.0,5,623,124.2,5.0,1,0.167,6,0
cust_000102,4,648.87,28,162.22,5.0,3,429,142.7,2.5,1,0.5,4,0
cust_000103,2,307.5,583,153.75,5.0,2,138,138.0,2.5,1,1.0,2,1
cust_000104,3,409.4,51,136.47,5.0,3,484,241.5,1.0,1,0.0,3,0
cust_000105,1,89.87,378,89.87,4.0,1,0,0.0,12.0,1,0.0,1,1
cust_000106,3,650.8,19,216.93,3.67,3,156,78.0,5.0,1,0.0,4,0
cust_000107,1,113.98,498,113.98,4.0,1,0,0.0,8.0,1,0.0,1,1
cust_000108,1,91.7,82,91.7,5.0,1,0,0.0,2.0,1,0.0,1,0
cust_000109,2,414.85,152,207.42,3.0,2,104,104.0,1.5,1,0.0,3,1
cust_000110,1,75.75,205,75.75,5.0,1,0,0.0,1.0,1,0.0,1,1
cust_000111,1,254.86,552,254.86,5.0,1,0,0.0,3.0,1,0.0,3,1
cust_000112,3,497.41,102,165.8,4.33,3,325,162.5,4.7,1,0.333,5,1
