customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
csess_0000000,cust_000000,16773,Nova Iguaçu,RJ
csess_0000001,cust_000001,24205,Interior City B,PI
csess_0000002,cust_000002,65443,Londrina,PR
csess_0000003,cust_000003,97905,Feira de Santana,BA
csess_0000004,cust_000004,94117,Guarulhos,SP
csess_0000005,cust_000005,64063,Santos,SP
csess_0000006,cust_000006,57119,Santos,SP
csess_0000007,cust_000007,43668,Interior City A,MA
csess_0000008,cust_000007,92112,Interior City A,MA
csess_0000009,cust_000007,12770,Interior City A,MA
csess_0000010,cust_000008,72537,Salvador,BA
csess_0000011,cust_000009,54308,Curitiba,PR
csess_0000012,cust_000009,47948,Curitiba,PR
csess_0000013,cust_000010,60102,Guarulhos,SP
csess_0000014,cust_000011,13606,Interior City A,DF
csess_0000015,cust_000011,90214,Interior City A,DF
csess_0000016,cust_000012,43025,Chapecó,SC
csess_0000017,cust_000013,60373,Guarulhos,SP
csess_0000018,cust_000014,24388,São Paulo,SP
csess_0000019,cust_000014,92570,São Paulo,SP
csess_0000020,cust_000015,40920,Guarulhos,SP
csess_0000021,cust_000016,45193,Santos,SP
csess_0000022,cust_000017,25011,Uberlândia,MG
csess_0000023,cust_000017,41254,Uberlândia,MG
csess_0000024,cust_000017,68266,Uberlândia,MG
csess_0000025,cust_000018,21106,Petrópolis,RJ
csess_0000026,cust_000019,31786,Campinas,SP
csess_0000027,cust_000019,66852,Campinas,SP
csess_0000028,cust_000020,26944,Vitória da Conquista,BA
csess_0000029,cust_000021,83917,Guarulhos,SP
csess_0000030,cust_000021,51164,Guarulhos,SP
csess_0000031,cust_000022,86743,Ribeirão Preto,SP
csess_0000032,cust_000023,38715,Campos dos Goytacazes,RJ
csess_0000033,cust_000024,64251,Rio de Janeiro,RJ
csess_0000034,cust_000025,78907,Fortaleza,CE
csess_0000035,cust_000025,74506,Fortaleza,CE
csess_0000036,cust_000026,45809,Campinas,SP
csess_0000037,cust_000027,16844,Juiz de Fora,MG
csess_0000038,cust_000028,97318,Contagem,MG
csess_0000039,cust_000029,59864,Guarulhos,SP
csess_0000040,cust_000030,86412,Salvador,BA
csess_0000041,cust_000031,98867,Santos,SP
csess_0000042,cust_000031,47174,Santos,SP
csess_0000043,cust_000032,55933,Ribeirão Preto,SP
csess_0000044,cust_000033,23144,Interior City A,AL
csess_0000045,cust_000034,17649,Interior City B,DF
csess_0000046,cust_000035,46645,Fortaleza,CE
csess_0000047,cust_000036,62674,Guarulhos,SP
csess_0000048,cust_000037,22818,São Bernardo do Campo,SP
csess_0000049,cust_000038,46880,Caxias do Sul,RS
csess_0000050,cust_000039,70109,Niterói,RJ
csess_0000051,cust_000040,47333,São Paulo,SP
csess_0000052,cust_000041,64058,Juiz de Fora,MG
csess_0000053,cust_000042,64575,Ribeirão Preto,SP
csess_0000054,cust_000043,35130,Capital,AM
csess_0000055,cust_000044,36716,Guarulhos,SP
csess_0000056,cust_000045,41297,Porto Alegre,RS
csess_0000057,cust_000046,29062,Guarulhos,SP
csess_0000058,cust_000047,39492,Juiz de Fora,MG
csess_0000059,cust_000047,96861,Juiz de Fora,MG
csess_0000060,cust_000048,66481,Belo Horizonte,MG
csess_0000061,cust_000049,85724,Santos,SP
csess_0000062,cust_000050,76377,Capital,DF
csess_0000063,cust_000051,20567,Recife,PE
csess_0000064,cust_000052,46806,Capital,RN
csess_0000065,cust_000053,84457,Interior City A,GO
csess_0000066,cust_000054,79885,Vitória da Conquista,BA
csess_0000067,cust_000055,85191,Capital,ES
csess_0000068,cust_000056,57674,São Bernardo do Campo,SP
csess_0000069,cust_000057,90415,Ribeirão Preto,SP
csess_0000070,cust_000058,80482,Guarulhos,SP
csess_0000071,cust_000059,53127,Ribeirão Preto,SP
csess_0000072,cust_000060,33502,Niterói,RJ
csess_0000073,cust_000061,82193,Ribeirão Preto,SP
csess_0000074,cust_000062,60724,Belém,PA
csess_0000075,cust_000063,88802,Nova Iguaçu,RJ
csess_0000076,cust_000064,16240,Guarulhos,SP
csess_0000077,cust_000065,96886,Juiz de Fora,MG
csess_0000078,cust_000066,58544,Ribeirão Preto,SP
csess_0000079,cust_000067,26640,Caucaia,CE
csess_0000080,cust_000068,42895,Ribeirão Preto,SP
csess_0000081,cust_000069,21920,Interior City B,SE
csess_0000082,cust_000069,89928,Interior City B,SE
csess_0000083,cust_000070,90453,Jaboatão dos Guararapes,PE
csess_0000084,cust_000071,40643,Ribeirão Preto,SP
csess_0000085,cust_000071,39227,Ribeirão Preto,SP
csess_0000086,cust_000072,33251,Guarulhos,SP
csess_0000087,cust_000073,34238,Marabá,PA
csess_0000088,cust_000074,70044,Cascavel,PR
csess_0000089,cust_000075,37723,Cascavel,PR
csess_0000090,cust_000076,44973,Olinda,PE
csess_0000091,cust_000077,18513,São Bernardo do Campo,SP
csess_0000092,cust_000078,53316,Rio de Janeiro,RJ
csess_0000093,cust_000079,40225,Guarulhos,SP
csess_0000094,cust_000080,14379,Interior City B,MA
csess_0000095,cust_000081,21305,Feira de Santana,BA
csess_0000096,cust_000081,41722,Feira de Santana,BA
csess_0000097,cust_000081,87684,Feira de Santana,BA
csess_0000098,cust_000082,65429,Campinas,SP
csess_0000099,cust_000082,88437,Campinas,SP
csess_0000100,cust_000083,86424,Ribeirão Preto,SP
csess_0000101,cust_000084,52476,Campinas,SP
csess_0000102,cust_000084,54253,Campinas,SP
csess_0000103,cust_000085,30708,Ribeirão Preto,SP
csess_0000104,cust_000085,74963,Ribeirão Preto,SP
csess_0000105,cust_000086,37621,Maringá,PR
csess_0000106,cust_000087,40001,Vitória da Conquista,BA
csess_0000107,cust_000088,24220,Capital,GO
csess_0000108,cust_000089,75122,Rio de Janeiro,RJ
csess_0000109,cust_000090,91757,Guarulhos,SP
csess_0000110,cust_000091,77907,Ponta Grossa,PR
csess_0000111,cust_000092,47784,Olinda,PE
csess_0000112,cust_000093,49070,Belo Horizonte,MG
csess_0000113,cust_000094,49150,Recife,PE
csess_0000114,cust_000095,71262,Belo Horizonte,MG
csess_0000115,cust_000096,98372,Contagem,MG
csess_0000116,cust_000097,65544,Petrópolis,RJ
csess_0000117,cust_000097,37161,Petrópolis,RJ
csess_0000118,cust_000098,31180,Santos,SP
