order_id,order_item_id,product_id,seller_id,price,freight_value
order_000000,1,prod_04072,seller_0027,58.79,13.89
order_000000,2,prod_01677,seller_0016,25.06,35.05
order_000001,1,prod_03556,seller_0003,103.57,49.6
order_000002,1,prod_04443,seller_0001,40.68,10.18
order_000003,1,prod_01238,seller_0024,71.5,43.94
order_000003,2,prod_01184,seller_0148,53.99,57.57
order_000004,1,prod_00079,seller_0036,23.75,42.93
order_000005,1,prod_01796,seller_0040,145.4,41.7
order_000006,1,prod_02233,seller_0201,70.7,23.43
order_000007,1,prod_01910,seller_0041,115.86,20.96
order_000008,1,prod_04278,seller_0217,98.34,64.08
order_000009,1,prod_04632,seller_0003,33.52,17.59
order_000009,2,prod_04341,seller_0002,229.36,34.38
order_000010,1,prod_01756,seller_0007,101.26,39.61
order_000011,1,prod_01522,seller_0010,68.98,44.45
order_000012,1,prod_01443,seller_0062,27.61,51.86
order_000012,2,prod_00828,seller_0017,40.44,27.6
order_000013,1,prod_03008,seller_0175,9.9,51.54
order_000014,1,prod_00819,seller_0042,163.87,33.1
order_000014,2,prod_02643,seller_0037,13.96,25.33
order_000015,1,prod_02505,seller_0011,106.22,25.37
order_000016,1,prod_02564,seller_0002,16.71,35.08
order_000017,1,prod_04476,seller_0099,61.48,58.07
order_000017,2,prod_01241,seller_0029,200.58,34.77
order_000018,1,prod_03834,seller_0011,69.05,35.5
order_000019,1,prod_01857,seller_0041,71.86,37.45
order_000020,1,prod_02646,seller_0020,98.12,32.64
order_000021,1,prod_00853,seller_0029,47.09,59.49
order_000022,1,prod_02411,seller_0028,84.46,49.46
order_000023,1,prod_00519,seller_0012,18.49,24.84
order_000023,2,prod_04636,seller_0010,15.24,20.05
order_000024,1,prod_01680,seller_0012,50.62,34.43
order_000024,2,prod_01987,seller_0010,17.92,58.4
order_000025,1,prod_04623,seller_0003,48.82,50.15
order_000025,2,prod_03155,seller_0019,56.53,12.68
order_000026,1,prod_04527,seller_0042,60.64,20.53
order_000026,2,prod_00106,seller_0175,107.54,24.81
order_000027,1,prod_00790,seller_0027,28.39,44.12
order_000028,1,prod_04257,seller_0043,25.21,40.3
order_000029,1,prod_03660,seller_0062,44.45,55.98
order_000029,2,prod_02033,seller_0026,40.76,64.87
order_000029,3,prod_03779,seller_0021,39.93,57.27
order_000030,1,prod_03748,seller_0031,53.68,35.67
order_000030,2,prod_03340,seller_0003,36.8,63.34
order_000031,1,prod_04657,seller_0039,39.36,43.0
order_000032,1,prod_02172,seller_0012,27.79,54.66
order_000033,1,prod_03014,seller_0018,44.33,21.36
order_000034,1,prod_01761,seller_0005,135.0,50.0
order_000035,1,prod_04764,seller_0034,88.91,60.33
order_000036,1,prod_01219,seller_0029,256.34,35.47
order_000037,1,prod_02600,seller_0024,42.28,18.75
order_000037,2,prod_01253,seller_0010,51.58,9.78
order_000038,1,prod_03835,seller_0037,29.01,27.31
order_000038,2,prod_03053,seller_0040,38.34,59.85
order_000039,1,prod_03626,seller_0130,59.54,12.28
order_000040,1,prod_04494,seller_0014,14.48,17.76
order_000041,1,prod_01066,seller_0023,155.14,11.77
order_000042,1,prod_00785,seller_0111,24.32,12.2
order_000043,1,prod_03369,seller_0004,21.43,61.41
order_000044,1,prod_01025,seller_0020,16.28,21.62
order_000045,1,prod_00246,seller_0040,115.4,29.15
order_000046,1,prod_04371,seller_0016,146.5,51.82
order_000046,2,prod_03668,seller_0029,17.88,61.15
order_000047,1,prod_01133,seller_0036,29.34,41.06
order_000048,1,prod_04691,seller_0002,29.71,61.69
order_000049,1,prod_00631,seller_0014,206.37,43.08
order_000050,1,prod_01421,seller_0023,49.01,38.18
order_000051,1,prod_02574,seller_0040,9.9,44.42
order_000052,1,prod_04770,seller_0039,43.33,24.6
order_000053,1,prod_02585,seller_0132,65.17,16.22
order_000054,1,prod_02421,seller_0147,53.6,62.24
order_000055,1,prod_00901,seller_0007,16.22,57.49
order_000056,1,prod_04774,seller_0032,33.54,8.71
order_000056,2,prod_02552,seller_0035,123.17,19.29
order_000057,1,prod_00220,seller_0088,88.76,29.74
order_000058,1,prod_04735,seller_0018,127.76,29.65
order_000059,1,prod_00828,seller_0032,66.6,16.48
order_000060,1,prod_02966,seller_0094,33.03,31.64
order_000061,1,prod_04969,seller_0012,28.37,58.67
order_000061,2,prod_00822,seller_0018,238.38,16.62
order_000062,1,prod_02065,seller_0012,500.22,21.17
order_000062,2,prod_01417,seller_0022,82.5,48.76
order_000063,1,prod_00132,seller_0019,58.86,14.29
order_000064,1,prod_00159,seller_0013,77.91,33.3
order_000065,1,prod_04579,seller_0042,92.82,36.28
order_000066,1,prod_00963,seller_0001,81.26,53.66
order_000067,1,prod_02640,seller_0031,33.6,13.22
order_000068,1,prod_01093,seller_0035,15.82,39.67
order_000069,1,prod_04471,seller_0011,54.67,18.26
order_000070,1,prod_00458,seller_0015,259.95,52.14
order_000071,1,prod_01891,seller_0035,33.35,44.86
order_000072,1,prod_02854,seller_0019,14.55,51.41
order_000072,2,prod_03360,seller_0030,24.87,16.67
order_000073,1,prod_03890,seller_0015,84.17,59.19
order_000074,1,prod_03548,seller_0028,32.61,27.68
order_000075,1,prod_02046,seller_0025,106.86,38.01
order_000076,1,prod_01372,seller_0006,82.04,63.63
order_000077,1,prod_01941,seller_0022,14.62,16.02
order_000078,1,prod_04677,seller_0018,99.63,49.45
order_000079,1,prod_01053,seller_0102,30.05,60.52
order_000080,1,prod_04021,seller_0036,76.63,28.56
order_000081,1,prod_04194,seller_0019,97.99,15.87
order_000081,2,prod_04923,seller_0009,23.47,32.04
order_000082,1,prod_00392,seller_0205,64.88,15.79
order_000082,2,prod_00682,seller_0030,45.51,38.18
order_000083,1,prod_00351,seller_0041,129.43,40.01
order_000084,1,prod_02891,seller_0124,34.81,36.89
order_000085,1,prod_01320,seller_0013,28.4,54.53
order_000086,1,prod_00826,seller_0072,150.51,38.16
order_000087,1,prod_01445,seller_0018,22.86,48.19
order_000088,1,prod_01797,seller_0013,109.89,19.01
order_000089,1,prod_00850,seller_0036,118.58,64.29
order_000089,2,prod_01651,seller_0167,95.05,48.38
order_000089,3,prod_00718,seller_0027,21.98,55.7
order_000090,1,prod_00538,seller_0026,33.99,57.58
order_000091,1,prod_02366,seller_0026,28.82,50.03
order_000092,1,prod_02540,seller_0010,61.74,19.71
order_000093,1,prod_02383,seller_0007,108.0,60.7
order_000094,1,prod_02686,seller_0041,55.66,27.27
order_000095,1,prod_03297,seller_0001,23.02,61.25
order_000096,1,prod_04553,seller_0020,104.83,19.52
order_000097,1,prod_02847,seller_0002,9.9,38.84
order_000098,1,prod_00041,seller_0016,19.01,48.61
order_000099,1,prod_03377,seller_0006,13.45,54.52
order_000100,1,prod_04311,seller_0003,17.94,33.84
order_000101,1,prod_00274,seller_0035,35.3,46.58
order_000102,1,prod_01626,seller_0116,87.51,46.71
order_000103,1,prod_03859,seller_0019,28.84,18.74
order_000104,1,prod_01342,seller_0007,17.18,21.96
order_000105,1,prod_04158,seller_0023,9.9,58.92
order_000106,1,prod_02309,seller_0205,26.99,40.17
order_000107,1,prod_02980,seller_0014,231.49,18.45
order_000107,2,prod_04063,seller_0014,19.85,27.69
order_000107,3,prod_03067,seller_0023,214.88,16.12
order_000108,1,prod_03459,seller_0096,29.67,39.99
order_000109,1,prod_03993,seller_0034,13.07,39.11
order_000109,2,prod_01419,seller_0016,24.31,46.65
order_000110,1,prod_02857,seller_0041,62.67,60.25
order_000110,2,prod_00676,seller_0041,78.68,24.58
order_000111,1,prod_03456,seller_0022,60.1,46.28
order_000111,2,prod_04787,seller_0022,261.57,18.58
order_000112,1,prod_03053,seller_0001,9.9,12.97
order_000112,2,prod_00846,seller_0202,53.21,13.11
order_000113,1,prod_03092,seller_0017,42.37,25.26
order_000114,1,prod_02689,seller_0019,11.46,21.79
order_000115,1,prod_02015,seller_0136,106.75,20.7
order_000116,1,prod_01840,seller_0023,53.68,52.27
order_000117,1,prod_03457,seller_0029,162.72,46.96
order_000118,1,prod_01840,seller_0002,11.44,61.63
order_000119,1,prod_04704,seller_0124,17.72,33.98
order_000120,1,prod_00874,seller_0034,47.07,18.16
order_000121,1,prod_02526,seller_0218,37.46,26.43
order_000122,1,prod_04752,seller_0209,20.44,11.99
order_000123,1,prod_04653,seller_0000,76.98,31.73
order_000124,1,prod_01958,seller_0059,231.87,51.62
order_000125,1,prod_00239,seller_0187,17.72,28.9
order_000126,1,prod_01550,seller_0021,70.06,18.08
order_000127,1,prod_01890,seller_0030,250.91,50.07
order_000128,1,prod_01497,seller_0033,30.25,57.75
order_000129,1,prod_00846,seller_0028,40.07,24.72
order_000130,1,prod_01726,seller_0035,271.02,32.81
order_000131,1,prod_00885,seller_0127,70.96,33.18
order_000132,1,prod_00291,seller_0034,132.8,57.01
order_000133,1,prod_01522,seller_0185,150.29,61.87
order_000134,1,prod_00143,seller_0021,96.13,37.02
order_000135,1,prod_01593,seller_0041,70.42,43.9
order_000135,2,prod_03002,seller_0019,43.42,57.69
order_000136,1,prod_04705,seller_0030,67.2,44.96
order_000137,1,prod_00692,seller_0120,43.04,14.4
order_000138,1,prod_03001,seller_0089,174.94,24.57
order_000139,1,prod_03433,seller_0198,171.32,31.4
order_000140,1,prod_04517,seller_0001,128.14,53.28
order_000141,1,prod_01062,seller_0008,146.45,19.92
order_000142,1,prod_01082,seller_0130,43.97,56.15
order_000143,1,prod_01276,seller_0017,24.95,57.28
order_000144,1,prod_03352,seller_0031,61.03,29.57
order_000145,1,prod_03096,seller_0142,326.11,43.43
