review_id,order_id,review_score
rev_000000,order_002106,3
rev_000001,order_012084,4
rev_000002,order_015740,5
rev_000003,order_013484,5
rev_000004,order_011067,5
rev_000005,order_023018,4
rev_000006,order_012774,5
rev_000007,order_016269,5
rev_000008,order_001019,5
rev_000009,order_004933,5
rev_000010,order_020998,4
rev_000011,order_000986,1
rev_000012,order_022043,5
rev_000013,order_001162,4
rev_000014,order_025002,5
rev_000015,order_029116,4
rev_000016,order_015369,5
rev_000017,order_011417,4
rev_000018,order_004121,4
rev_000019,order_022152,3
rev_000020,order_029097,4
rev_000021,order_007925,5
rev_000022,order_004020,5
rev_000023,order_015682,4
rev_000024,order_027386,5
rev_000025,order_013728,5
rev_000026,order_006964,3
rev_000027,order_010795,5
rev_000028,order_022857,5
rev_000029,order_023956,5
rev_000030,order_010622,5
rev_000031,order_002078,5
rev_000032,order_026515,5
rev_000033,order_019070,4
rev_000034,order_008869,5
rev_000035,order_019166,4
rev_000036,order_025918,1
rev_000037,order_026927,5
rev_000038,order_018183,5
rev_000039,order_017576,1
rev_000040,order_024577,5
rev_000041,order_018823,3
rev_000042,order_004154,5
rev_000043,order_001319,3
rev_000044,order_023980,5
rev_000045,order_027612,5
rev_000046,order_020645,3
rev_000047,order_000180,5
rev_000048,order_010734,5
rev_000049,order_026348,5
rev_000050,order_024922,3
rev_000051,order_015501,4
rev_000052,order_009653,3
rev_000053,order_019074,5
rev_000054,order_023260,5
rev_000055,order_001093,5
rev_000056,order_002599,5
rev_000057,order_006562,5
rev_000058,order_025628,5
rev_000059,order_001859,1
rev_000060,order_028773,5
rev_000061,order_012256,4
rev_000062,order_013648,1
rev_000063,order_020747,5
rev_000064,order_029134,5
rev_000065,order_021338,5
rev_000066,order_012782,4
rev_000067,order_008002,1
rev_000068,order_024333,2
rev_000069,order_004678,5
rev_000070,order_001102,4
rev_000071,order_011624,1
rev_000072,order_014814,4
rev_000073,order_011018,5
rev_000074,order_012676,5
rev_000075,order_018466,5
rev_000076,order_028158,5
rev_000077,order_019445,4
rev_000078,order_025123,1
rev_000079,order_009102,4
rev_000080,order_005667,5
rev_000081,order_014930,5
rev_000082,order_014565,2
rev_000083,order_016440,3
rev_000084,order_026762,5
rev_000085,order_005066,5
rev_000086,order_013014,5
rev_000087,order_016355,3
rev_000088,order_002161,4
rev_000089,order_002628,5
rev_000090,order_007899,2
rev_000091,order_018851,5
rev_000092,order_029106,5
rev_000093,order_004556,5
rev_000094,order_010602,5
rev_000095,order_024972,5
rev_000096,order_000023,3
rev_000097,order_003780,1
rev_000098,order_018889,4
rev_000099,order_020552,4
rev_000100,order_021030,5
rev_000101,order_008909,4
rev_000102,order_015872,5
rev_000103,order_013971,5
rev_000104,order_005361,5
rev_000105,order_001560,3
rev_000106,order_023431,5
rev_000107,order_005787,1
rev_000108,order_026186,5
rev_000109,order_015537,5
rev_000110,order_010009,5
rev_000111,order_005090,1
rev_000112,order_024037,5
rev_000113,order_014732,5
rev_000114,order_021723,1
rev_000115,order_027469,5
rev_000116,order_000362,4
rev_000117,order_002747,1
rev_000118,order_015365,1
rev_000119,order_006637,4
rev_000120,order_027721,5
rev_000121,order_028026,4
rev_000122,order_021974,5
rev_000123,order_017084,4
rev_000124,order_003018,2
rev_000125,order_000061,3
rev_000126,order_021592,5
rev_000127,order_003297,5
rev_000128,order_014095,3
rev_000129,order_007146,5
rev_000130,order_004247,3
rev_000131,order_008958,1
rev_000132,order_022214,5
rev_000133,order_012257,3
rev_000134,order_012265,2
rev_000135,order_027442,4
rev_000136,order_021413,1
rev_000137,order_019075,1
rev_000138,order_017999,5
rev_000139,order_000412,4
rev_000140,order_025943,5
rev_000141,order_003584,5
rev_000142,order_017702,5
rev_000143,order_021507,3
rev_000144,order_014131,1
rev_000145,order_012004,4
rev_000146,order_004683,5
rev_000147,order_000905,5
rev_000148,order_010967,5
rev_000149,order_014463,5
rev_000150,order_026974,5
rev_000151,order_002972,5
rev_000152,order_016505,3
rev_000153,order_010803,2
rev_000154,order_027900,4
rev_000155,order_013962,5
rev_000156,order_023239,4
rev_000157,order_016340,5
rev_000158,order_020147,5
rev_000159,order_010193,5
rev_000160,order_017371,5
rev_000161,order_028654,3
rev_000162,order_012346,5
rev_000163,order_000772,5
rev_000164,order_001978,4
rev_000165,order_008934,5
rev_000166,order_009314,5
rev_000167,order_003212,5
rev_000168,order_015409,4
rev_000169,order_019458,5
rev_000170,order_007220,4
rev_000171,order_013975,4
rev_000172,order_015952,5
rev_000173,order_005585,5
rev_000174,order_021340,5
rev_000175,order_010818,4
rev_000176,order_026014,5
rev_000177,order_020412,5
rev_000178,order_028581,5
rev_000179,order_024531,2
rev_000180,order_019124,5
rev_000181,order_000846,4
rev_000182,order_026506,3
rev_000183,order_018741,2
rev_000184,order_017818,5
rev_000185,order_003429,5
rev_000186,order_008240,5
rev_000187,order_000280,5
rev_000188,order_003605,5
rev_000189,order_014136,5
rev_000190,order_028466,2
rev_000191,order_010625,3
rev_000192,order_027360,1
rev_000193,order_015176,2
rev_000194,order_018387,5
rev_000195,order_005674,1
rev_000196,order_008146,4
rev_000197,order_018581,5
rev_000198,order_000558,5
rev_000199,order_021001,4
rev_000200,order_016148,4
rev_000201,order_020105,5
rev_000202,order_015442,5
rev_000203,order_020387,4
rev_000204,order_016183,2
rev_000205,order_014881,4
rev_000206,order_001048,5
rev_000207,order_000537,5
rev_000208,order_010027,5
rev_000209,order_024664,5
rev_000210,order_020885,5
rev_000211,order_004795,5
rev_000212,order_016455,5
rev_000213,order_004044,3
rev_000214,order_025006,3
rev_000215,order_015499,4
rev_000216,order_027104,4
rev_000217,order_021821,3
rev_000218,order_018680,4
rev_000219,order_003790,5
rev_000220,order_009325,5
rev_000221,order_001030,5
rev_000222,order_020385,4
rev_000223,order_003958,4
rev_000224,order_003028,2
rev_000225,order_018327,5
rev_000226,order_016261,5
rev_000227,order_003427,5
rev_000228,order_008613,5
rev_000229,order_029192,5
rev_000230,order_004188,4
rev_000231,order_019064,4
rev_000232,order_027466,3
rev_000233,order_025999,5
rev_000234,order_017685,3
rev_000235,order_019827,5
rev_000236,order_028448,3
rev_000237,order_014901,4
rev_000238,order_016883,5
rev_000239,order_008523,5
rev_000240,order_006393,5
rev_000241,order_017418,4
rev_000242,order_004942,5
rev_000243,order_022352,5
rev_000244,order_005060,3
rev_000245,order_023974,5
rev_000246,order_022980,5
rev_000247,order_012583,3
rev_000248,order_027714,5
rev_000249,order_020143,5
rev_000250,order_018746,4
rev_000251,order_009331,5
rev_000252,order_021537,4
rev_000253,order_015099,5
rev_000254,order_016553,1
rev_000255,order_023072,5
rev_000256,order_010812,5
rev_000257,order_021028,4
rev_000258,order_005039,5
rev_000259,order_023552,5
rev_000260,order_006119,5
rev_000261,order_003874,5
rev_000262,order_008978,5
rev_000263,order_027054,4
rev_000264,order_017435,4
rev_000265,order_023847,5
rev_000266,order_013418,4
rev_000267,order_025912,5
rev_000268,order_020293,2
rev_000269,order_007920,1
rev_000270,order_023644,5
rev_000271,order_017289,5
rev_000272,order_008082,5
rev_000273,order_019339,1
rev_000274,order_026507,4
rev_000275,order_002663,5
rev_000276,order_018681,5
rev_000277,order_009880,5
rev_000278,order_015534,5
rev_000279,order_024578,1
rev_000280,order_017487,4
rev_000281,order_003649,5
rev_000282,order_002055,5
rev_000283,order_002190,5
rev_000284,order_011806,5
rev_000285,order_028439,3
rev_000286,order_013573,5
rev_000287,order_001901,1
rev_000288,order_014003,5
rev_000289,order_025329,5
rev_000290,order_025884,5
rev_000291,order_004609,5
rev_000292,order_013796,4
rev_000293,order_027843,5
rev_000294,order_023778,5
rev_000295,order_028796,1
rev_000296,order_019096,5
rev_000297,order_011202,5
rev_000298,order_009506,3
rev_000299,order_008871,5
rev_000300,order_014208,1
rev_000301,order_005627,5
rev_000302,order_003394,5
rev_000303,order_009281,5
rev_000304,order_028334,4
rev_000305,order_018193,5
rev_000306,order_014620,5
rev_000307,order_023556,5
rev_000308,order_025902,5
rev_000309,order_011597,5
rev_000310,order_003554,1
rev_000311,order_007401,1
rev_000312,order_013577,2
rev_000313,order_026648,5
rev_000314,order_020720,5
rev_000315,order_026307,5
rev_000316,order_010313,5
rev_000317,order_017667,5
rev_000318,order_023189,1
rev_000319,order_018736,5
rev_000320,order_025136,4
rev_000321,order_027497,1
rev_000322,order_010594,5
rev_000323,order_016376,5
rev_000324,order_001994,5
rev_000325,order_020908,5
rev_000326,order_002575,3
rev_000327,order_024461,4
rev_000328,order_022268,2
rev_000329,order_019653,5
rev_000330,order_003579,2
rev_000331,order_014708,1
rev_000332,order_006504,5
rev_000333,order_020453,1
rev_000334,order_027592,1
rev_000335,order_014226,4
rev_000336,order_002586,4
rev_000337,order_005416,4
rev_000338,order_017589,2
rev_000339,order_015025,4
rev_000340,order_026633,5
rev_000341,order_018079,4
rev_000342,order_007483,5
rev_000343,order_023330,4
rev_000344,order_017142,5
rev_000345,order_000863,4
rev_000346,order_007272,5
rev_000347,order_020172,5
rev_000348,order_022013,5
rev_000349,order_012527,2
rev_000350,order_021422,1
rev_000351,order_002054,4
rev_000352,order_022531,5
rev_000353,order_022615,1
rev_000354,order_000489,3
rev_000355,order_023767,2
rev_000356,order_025789,5
rev_000357,order_025326,2
rev_000358,order_011711,3
rev_000359,order_004744,5
rev_000360,order_005866,1
rev_000361,order_016268,2
rev_000362,order_020944,5
rev_000363,order_001611,5
rev_000364,order_012611,5
rev_000365,order_012305,5
rev_000366,order_013791,3
rev_000367,order_023762,5
rev_000368,order_009392,5
rev_000369,order_003943,5
rev_000370,order_010958,4
rev_000371,order_017171,4
rev_000372,order_011556,5
rev_000373,order_012790,5
rev_000374,order_009507,4
rev_000375,order_019659,3
rev_000376,order_005381,4
rev_000377,order_025170,5
rev_000378,order_001838,5
rev_000379,order_015310,4
rev_000380,order_012496,3
rev_000381,order_017104,5
rev_000382,order_023358,5
rev_000383,order_024614,5
rev_000384,order_016698,1
rev_000385,order_001895,5
rev_000386,order_012184,5
rev_000387,order_022607,5
rev_000388,order_026931,5
rev_000389,order_022110,5
rev_000390,order_009014,5
rev_000391,order_023262,4
rev_000392,order_018199,3
rev_000393,order_011090,5
rev_000394,order_011485,5
rev_000395,order_000543,5
rev_000396,order_026455,5
rev_000397,order_016648,5
rev_000398,order_018015,5
rev_000399,order_018031,4
rev_000400,order_001937,5
rev_000401,order_019366,4
rev_000402,order_002822,5
rev_000403,order_025056,3
rev_000404,order_020849,5
rev_000405,order_017813,5
rev_000406,order_002208,5
rev_000407,order_011012,5
rev_000408,order_015643,3
rev_000409,order_025090,5
rev_000410,order_022188,5
rev_000411,order_015830,4
rev_000412,order_015235,5
rev_000413,order_005475,5
rev_000414,order_022742,5
rev_000415,order_020285,4
rev_000416,order_027498,1
rev_000417,order_014775,3
rev_000418,order_006642,5
rev_000419,order_020617,5
rev_000420,order_018176,5
rev_000421,order_020027,5
rev_000422,order_025994,3
rev_000423,order_008681,3
rev_000424,order_018238,5
rev_000425,order_016351,5
rev_000426,order_016637,5
rev_000427,order_002224,5
rev_000428,order_026321,5
rev_000429,order_005772,5
rev_000430,order_029029,5
rev_000431,order_027769,5
rev_000432,order_007130,5
rev_000433,order_004716,1
rev_000434,order_015188,1
rev_000435,order_004940,3
rev_000436,order_013689,1
rev_000437,order_022705,5
rev_000438,order_025861,5
rev_000439,order_016259,4
rev_000440,order_019382,1
rev_000441,order_009354,4
rev_000442,order_002506,3
rev_000443,order_011815,4
rev_000444,order_018262,2
rev_000445,order_017330,4
rev_000446,order_012353,3
rev_000447,order_001709,2
rev_000448,order_011574,5
rev_000449,order_000760,5
rev_000450,order_020072,1
rev_000451,order_013169,1
rev_000452,order_007606,2
rev_000453,order_000826,5
rev_000454,order_022587,3
rev_000455,order_020775,5
rev_000456,order_010399,5
rev_000457,order_009172,5
rev_000458,order_020831,4
rev_000459,order_028207,5
rev_000460,order_002883,5
rev_000461,order_006907,5
rev_000462,order_016809,1
rev_000463,order_003929,5
rev_000464,order_018381,4
rev_000465,order_018649,4
rev_000466,order_012765,5
rev_000467,order_012899,5
rev_000468,order_018455,2
rev_000469,order_013093,5
rev_000470,order_010224,2
rev_000471,order_000248,4
rev_000472,order_022275,5
rev_000473,order_029276,1
rev_000474,order_026478,5
rev_000475,order_027055,5
rev_000476,order_014220,5
