order_id,customer_id,order_purchase_timestamp,order_status,order_delivered_customer_date,order_estimated_delivery_date
order_000000,csess_0000000,2025-06-20 17:13:00,delivered,2025-07-11 17:13:00,2025-07-11 17:13:00
order_000001,csess_0000000,2024-11-29 20:17:00,shipped,2024-12-11 20:17:00,2024-12-10 20:17:00
order_000002,csess_0000000,2024-10-06 06:06:00,delivered,2024-11-02 06:06:00,2024-11-04 06:06:00
order_000003,csess_0000000,2025-10-14 16:37:00,delivered,2025-11-05 16:37:00,2025-11-10 16:37:00
order_000004,csess_0000001,2025-12-18 19:06:00,delivered,2025-12-31 19:06:00,2026-01-03 19:06:00
order_000005,csess_0000001,2025-04-21 13:06:00,delivered,2025-05-14 13:06:00,2025-05-18 13:06:00
order_000006,csess_0000001,2024-12-04 14:35:00,delivered,2024-12-18 14:35:00,2024-12-17 14:35:00
order_000007,csess_0000002,2024-10-16 17:16:00,delivered,2024-10-27 17:16:00,2024-11-05 17:16:00
order_000008,csess_0000002,2024-11-14 19:55:00,delivered,2024-12-01 19:55:00,2024-12-06 19:55:00
order_000009,csess_0000002,2024-01-21 11:03:00,delivered,2024-02-19 11:03:00,2024-02-19 11:03:00
order_000010,csess_0000002,2024-10-26 20:11:00,delivered,2024-10-30 20:11:00,2024-11-05 20:11:00
order_000011,csess_0000002,2025-07-26 16:17:00,delivered,2025-08-02 16:17:00,2025-08-06 16:17:00
order_000012,csess_0000002,2025-01-16 16:01:00,shipped,2025-02-02 16:01:00,2025-02-13 16:01:00
order_000013,csess_0000002,2025-05-10 23:46:00,canceled,,2025-06-05 23:46:00
order_000014,csess_0000002,2025-02-22 10:31:00,delivered,2025-03-21 10:31:00,2025-03-22 10:31:00
order_000015,csess_0000002,2024-03-31 20:02:00,delivered,2024-04-11 20:02:00,2024-04-07 20:02:00
order_000016,csess_0000002,2024-09-17 17:55:00,delivered,2024-10-05 17:55:00,2024-10-02 17:55:00
order_000017,csess_0000002,2025-11-13 05:55:00,delivered,2025-11-16 05:55:00,2025-11-22 05:55:00
order_000018,csess_0000003,2024-03-09 19:14:00,processing,,2024-04-01 19:14:00
order_000019,csess_0000003,2025-01-10 10:04:00,processing,,2025-01-22 10:04:00
order_000020,csess_0000003,2025-06-14 12:15:00,delivered,2025-06-23 12:15:00,2025-07-01 12:15:00
order_000021,csess_0000003,2024-06-14 09:04:00,delivered,2024-06-28 09:04:00,2024-07-01 09:04:00
order_000022,csess_0000003,2024-09-13 11:26:00,shipped,2024-10-01 11:26:00,2024-10-01 11:26:00
order_000023,csess_0000003,2024-11-17 07:40:00,delivered,2024-11-26 07:40:00,2024-11-26 07:40:00
order_000024,csess_0000003,2025-12-23 23:19:00,delivered,2026-01-14 23:19:00,2026-01-20 23:19:00
